village_code,province_code,province_name,city_code,city_name,district_code,district_name,village_name,postal_code,postal_code_candidate,candidate_status,candidate_sources,postal_code_diskominfo,postal_code_open_data_jabar,postal_code_kodepos_dev,postal_candidates,verification_status,confidence,review_required,selected_reason,administrative_resolution_applied,former_village_code,source_village_codes,source_ids,source_rows,snapshot
32.01.01.1002,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,KARADENAN,16913,,,,16913,16913,16913,16913,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.01.1002;open_data_jabar:32.01.01.1002;kodepos_dev:32.01.01.1002,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:3;open_data_jabar:17350;kodepos_dev:3,2026-08-11
32.01.01.1003,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,HARAPANJAYA,16914,,,,16914,16914,16914,16914,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.01.1003;open_data_jabar:32.01.01.1003;kodepos_dev:32.01.01.1003,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:4;open_data_jabar:17351;kodepos_dev:4,2026-08-11
32.01.01.1004,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,NANGGEWER,16912,,,,16912,16912,16912,16912,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.01.1004;open_data_jabar:32.01.01.1004;kodepos_dev:32.01.01.1004,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:5;open_data_jabar:17352;kodepos_dev:5,2026-08-11
32.01.01.1005,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,NANGGEWER MEKAR,16912,,,,16912,16912,16912,16912,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.01.1005;open_data_jabar:32.01.01.1005;kodepos_dev:32.01.01.1005,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:6;open_data_jabar:17353;kodepos_dev:6,2026-08-11
32.01.01.1006,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,CIBINONG,16911,,,,16911,16911,16911,16911,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.01.1006;open_data_jabar:32.01.01.1006;kodepos_dev:32.01.01.1006,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:7;open_data_jabar:17354;kodepos_dev:7,2026-08-11
32.01.01.1007,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,PAKANSARI,16915,,,,16915,16915,16915,16915,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.01.1007;open_data_jabar:32.01.01.1007;kodepos_dev:32.01.01.1007,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:8;open_data_jabar:17355;kodepos_dev:8,2026-08-11
32.01.01.1008,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,TENGAH,16914,,,,16914,16914,16914,16914,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.01.1008;open_data_jabar:32.01.01.1008;kodepos_dev:32.01.01.1008,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:9;open_data_jabar:17356;kodepos_dev:9,2026-08-11
32.01.01.1009,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,SUKAHATI,16913,,,,16913,16913,16913,16913,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.01.1009;open_data_jabar:32.01.01.1009;kodepos_dev:32.01.01.1009,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:10;open_data_jabar:17357;kodepos_dev:10,2026-08-11
32.01.01.1011,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,CIRIMEKAR,16917,,,,16917,16917,16917,16917,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.01.1011;open_data_jabar:32.01.01.1011;kodepos_dev:32.01.01.1011,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:12;open_data_jabar:17360;kodepos_dev:12,2026-08-11
32.01.01.1012,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.01,CIBINONG,PABUARAN,16916,,,,16916,16916,16916,16916,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.01.1012;open_data_jabar:32.01.01.1012;kodepos_dev:32.01.01.1012,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:13;open_data_jabar:17361;kodepos_dev:13,2026-08-11
